pe(m0c^2),E keV,F for z=56
0.1,2.548639,76.296
0.2,10.11977,38.534
0.3,22.49962,26.106
0.4,39.36376,20.011
0.5,60.31524,16.451
0.6,84.9231,14.158
0.7,112.7548,12.582
0.8,143.399,11.446
0.9,176.4798,10.596
1,211.6627,9.9408
1.2,287.2069,9.0025
1.4,368.1569,8.3663
1.6,453.1519,7.9067
1.8,541.2123,7.5576
2,631.6294,7.2818
2.2,723.8858,7.0569
2.4,817.5983,6.8687
2.6,912.4794,6.7077
2.8,1008.31,6.5676
3,1104.922,6.4439
3.2,1202.182,6.3332
3.4,1299.986,6.2333
3.6,1398.251,6.1421
3.8,1496.908,6.0583
4,1595.904,5.9808
4.5,1844.59,5.8091
5,2094.595,5.6615
5.5,2345.572,5.5318
6,2597.286,5.4159
6.5,2849.572,5.3111
7,3102.309,5.2151
7.5,3355.409,5.1266
8,3608.806,5.0443
9,4116.293,4.8952
10,4624.477,4.7623
11,5133.169,4.6424
12,5642.243,4.5327
13,6151.612,4.4317
14,6661.213,4.3379
16,7680.937,4.1681
18,8701.165,4.0173
20,9721.746,3.8814
25,12274.19,3.591
30,14827.48,3.3516
35,17381.26,3.1489
40,19935.34,2.974
45,22489.63,2.8213
50,25044.06,2.6865
